Key	Type	Desc	English	Chinese (Simplified)
CoreFighter/AttackSpeed/OriginCoolDown2.0/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown2.0/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown2.0/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown2.0/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown2.0/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown5.0/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown5.0/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown5.0/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown5.0/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown5.0/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown5.0/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown5.0/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown5.0/Consume			Consume	消耗品
				
				
